#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
290,Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,"11,11,852","7,36,955",66.3 %,"92,248",12.5%,AC View
291,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,"14,38,990","9,28,490",64.5 %,"1,94,612",21.0%,AC View
292,Kodarma,5,GEN,Jharkhand,Ravindra Kr. Ray,Bharatiya Janta Party,"16,39,629","10,24,906",62.5 %,"98,654",9.6%,AC View
293,Kokrajhar,5,ST,Assam,Naba Kumar Sarania (HIRA),Independent,"15,05,476","12,23,869",81.3 %,"3,55,779",29.1%,AC View
294,Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,"14,92,975","11,27,323",75.5 %,"47,850",4.2%,AC View
295,Kolhapur,47,GEN,Maharashtra,Dhananjay Bhimrao Mahadik,Nationalist Congress Party,"17,58,300","12,60,289",71.7 %,"33,259",2.6%,AC View
296,Kolkata Dakshin,23,GEN,West Bengal,Subrata Bakshi,All India Trinamool Congress,"16,85,296","11,67,979",69.3 %,"1,36,339",11.7%,AC View
297,Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,"14,33,985","9,55,778",66.7 %,"96,226",10.1%,AC View
298,Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,"12,19,415","8,79,056",72.1 %,"37,649",4.3%,AC View
299,Koppal,8,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,"15,35,105","10,06,508",65.6 %,"32,414",3.2%,AC View
300,Koraput,21,ST,Orissa,Jhina Hikaka,Biju Janata Dal,"13,00,437","9,89,444",76.1 %,"19,328",2.0%,AC View
301,Korba,4,GEN,Chhattisgarh,Dr. Banshilal Mahto,Bharatiya Janta Party,"14,19,610","10,52,720",74.2 %,"4,265",0.4%,AC View
302,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,"17,44,539","11,54,960",66.2 %,"2,00,782",17.4%,AC View
303,Kottayam,14,GEN,Kerala,Jose K. Mani,Kerala Congress(M),"11,61,463","8,31,636",71.6 %,"1,20,599",14.5%,AC View
304,Kozhikode,5,GEN,Kerala,M .K Raghavan,Indian National Congress,"11,82,484","9,43,009",79.8 %,"16,883",1.8%,AC View
305,Krishnagiri,9,GEN,Tamil Nadu,Ashok Kumar.K,All India Anna Dravida Munnetra Kazhagam,"13,79,957","10,68,391",77.4 %,"2,06,591",19.3%,AC View
306,Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,"14,76,783","12,47,914",84.5 %,"71,255",5.7%,AC View
307,Kurnool,35,GEN,Andhra Pradesh [2014 Onwards],Butta Renuka,Yuvajana Sramika Rythu Congress Party,"14,81,807","10,65,732",71.9 %,"44,131",4.1%,AC View
308,Kurukshetra,2,GEN,Haryana,Raj Kumar Saini,Bharatiya Janta Party,"14,98,459","11,35,892",75.8 %,"1,29,736",11.4%,AC View
309,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Rajesh Pandey Urf Guddu,Bharatiya Janta Party,"16,80,992","9,50,445",56.5 %,"85,540",9.0%,AC View
310,Ladakh,4,GEN,Jammu & Kashmir,Thupstan Chhewang,Bharatiya Janta Party,"1,66,763","1,18,029",70.8 %,36,0.0%,AC View
311,Lakhimpur,14,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,"14,30,994","11,11,975",77.7 %,"2,92,138",26.3%,AC View
312,Lakshadweep,1,ST,Lakshadweep,Mohammed Faizal P.P.,Nationalist Congress Party,"49,922","43,239",86.6 %,"1,535",3.6%,AC View
313,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Neelam Sonkar,Bharatiya Janta Party,"16,61,483","8,98,655",54.1 %,"63,086",7.0%,AC View
314,Latur,41,SC,Maharashtra,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,"16,82,607","10,57,156",62.8 %,"2,53,395",24.0%,AC View
315,Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,"11,19,144","6,51,460",58.2 %,"6,489",1.0%,AC View
316,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,"19,49,956","10,33,783",53.0 %,"2,72,749",26.4%,AC View
317,Ludhiana,7,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,"15,61,201","11,00,457",70.5 %,"19,709",1.8%,AC View
318,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Ram Charitra Nishad,Bharatiya Janta Party,"18,91,969","9,97,902",52.7 %,"1,72,155",17.3%,AC View
319,Machilipatnam,28,GEN,Andhra Pradesh [2014 Onwards],Konakalla Narayana Rao,Telugu Desam,"13,69,311","11,41,065",83.3 %,"81,057",7.1%,AC View
320,Madha,43,GEN,Maharashtra,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,"17,27,308","10,79,619",62.5 %,"25,344",2.3%,AC View
321,Madhepura,13,GEN,Bihar [2000 Onwards],Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,"17,25,578","10,34,799",60.0 %,"56,209",5.4%,AC View
322,Madhubani,6,GEN,Bihar [2000 Onwards],Hukm Deo Narayan Yadav,Bharatiya Janta Party,"16,27,969","8,60,453",52.9 %,"20,535",2.4%,AC View
323,Madurai,32,GEN,Tamil Nadu,R.Gopalakrishnan,All India Anna Dravida Munnetra Kazhagam,"14,41,434","9,78,346",67.9 %,"1,97,436",20.2%,AC View
324,Mahabubabad,16,ST,Telangana,Prof. Azmeera Seetaram Naik,Telangana Rashtra Samithi,"13,87,343","11,24,370",81.0 %,"34,992",3.1%,AC View
325,Maharajganj,19,GEN,Bihar [2000 Onwards],Janardan Singh Sigriwal,Bharatiya Janta Party,"16,44,524","8,46,654",51.5 %,"38,415",4.5%,AC View
326,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj,Bharatiya Janta Party,"17,43,131","10,56,078",60.6 %,"2,40,458",22.8%,AC View
327,Mahasamund,9,GEN,Chhattisgarh,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,"15,15,747","11,31,209",74.6 %,"1,217",0.1%,AC View
