#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
415,Porbandar,11,GEN,Gujarat,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,"15,39,223","8,09,433",52.6 %,"2,67,971",33.1%,AC View
416,Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Kuwar Harivansh Singh,Apna Dal,"17,16,625","8,94,456",52.1 %,"1,68,222",18.8%,AC View
417,Pune,34,GEN,Maharashtra,Anil Shirole,Bharatiya Janta Party,"18,35,836","9,93,274",54.1 %,"3,15,769",31.8%,AC View
418,Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,"14,04,581","10,39,389",74.0 %,"2,63,361",25.3%,AC View
419,Purnia,12,GEN,Bihar [2000 Onwards],Santosh Kumar,Janata Dal (United),"15,82,967","10,17,732",64.3 %,"1,16,669",11.5%,AC View
420,Purulia,35,GEN,West Bengal,Dr. Mriganka Mahato,All India Trinamool Congress,"14,71,933","12,04,675",81.8 %,"1,53,877",12.8%,AC View
421,Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,"14,52,963","8,22,671",56.6 %,"1,92,163",23.4%,AC View
422,Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,"15,94,954","8,25,136",51.7 %,"3,52,713",42.7%,AC View
423,Raichur,6,ST,Karnataka,B.V.Nayak,Indian National Congress,"16,61,606","9,68,889",58.3 %,"1,499",0.2%,AC View
424,Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,"15,32,781","9,87,766",64.4 %,"2,110",0.2%,AC View
425,Raiganj,5,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),"13,87,526","11,08,193",79.9 %,"1,634",0.1%,AC View
426,Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,"16,05,824","12,46,186",77.6 %,"2,16,750",17.4%,AC View
427,Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,"19,04,230","12,50,845",65.7 %,"1,71,646",13.7%,AC View
428,Rajahmundry,25,GEN,Andhra Pradesh [2014 Onwards],Murali Mohan Maganti,Telugu Desam,"14,21,288","11,54,381",81.2 %,"1,67,434",14.5%,AC View
429,Rajampet,41,GEN,Andhra Pradesh [2014 Onwards],P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,"14,87,498","11,58,317",77.9 %,"1,74,762",15.1%,AC View
430,Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,"15,78,748","10,10,724",64.0 %,"2,28,737",22.6%,AC View
431,Rajkot,10,GEN,Gujarat,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,"16,55,717","10,57,069",63.8 %,"2,46,428",23.3%,AC View
432,Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,"13,53,172","9,51,563",70.3 %,"41,337",4.3%,AC View
433,Rajnandgaon,6,GEN,Chhattisgarh,Abhishek Singh,Bharatiya Janta Party,"15,88,095","11,78,296",74.2 %,"2,35,911",20.0%,AC View
434,Rajsamand,22,GEN,Rajasthan,Hariom Singh Rathore,Bharatiya Janta Party,"16,99,401","9,82,119",57.8 %,"3,95,705",40.3%,AC View
435,Ramanathapuram,35,GEN,Tamil Nadu,Anwhar Raajhaa.A,All India Anna Dravida Munnetra Kazhagam,"14,55,891","10,01,048",68.8 %,"1,19,324",11.9%,AC View
436,Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Dr. Nepal Singh,Bharatiya Janta Party,"16,16,984","9,56,389",59.2 %,"23,435",2.5%,AC View
437,Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,"16,77,245","10,50,316",62.6 %,"1,75,791",16.7%,AC View
438,Ranaghat,13,SC,West Bengal,Tapas Mandal,All India Trinamool Congress,"16,02,849","13,53,196",84.4 %,"2,01,767",14.9%,AC View
439,Ranchi,8,GEN,Jharkhand,Ram Tahal Choudhary,Bharatiya Janta Party,"16,48,464","10,49,783",63.7 %,"1,99,303",19.0%,AC View
440,Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Dileepsingh Bhuria,Bharatiya Janta Party,"17,02,648","10,82,681",63.6 %,"1,08,447",10.0%,AC View
441,Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Vinayak Bhaurao Raut,Shiv Sena,"13,67,361","8,96,256",65.6 %,"1,50,051",16.7%,AC View
442,Raver,4,GEN,Maharashtra,Khadase Raksha Nikhil,Bharatiya Janta Party,"15,93,370","10,09,213",63.3 %,"3,18,068",31.5%,AC View
443,Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,"15,44,719","8,30,002",53.7 %,"1,68,726",20.3%,AC View
444,Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Bharatiya Janta Party,"16,39,561","8,85,873",54.0 %,"1,90,486",21.5%,AC View
445,Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,"15,67,504","10,44,331",66.6 %,"1,70,627",16.3%,AC View
446,Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,"16,15,840","10,94,002",67.7 %,"84,455",7.7%,AC View
447,Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Laxmi Narayan Yadav,Bharatiya Janta Party,"15,20,184","8,91,929",58.7 %,"1,20,737",13.5%,AC View
448,Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Raghav Lakhanpal,Bharatiya Janta Party,"16,08,833","11,94,308",74.2 %,"65,090",5.5%,AC View
449,Salem,15,GEN,Tamil Nadu,Pannerselvam.V,All India Anna Dravida Munnetra Kazhagam,"14,98,350","11,50,296",76.8 %,"2,67,610",23.3%,AC View
450,Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ravindra Kushawaha,Bharatiya Janta Party,"16,61,737","8,54,749",51.4 %,"2,32,342",27.2%,AC View
451,Samastipur,23,SC,Bihar [2000 Onwards],Ram Chandra Paswan,Lok Jan Shakti Party,"15,03,005","8,63,199",57.4 %,"6,872",0.8%,AC View
452,Sambalpur,3,GEN,Orissa,Nagendra Kumar Pradhan,Biju Janata Dal,"12,97,098","9,84,309",75.9 %,"30,576",3.1%,AC View
453,Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Satyapal Singh,Bharatiya Janta Party,"16,93,245","10,57,002",62.4 %,"5,174",0.5%,AC View
454,Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,"16,49,107","10,46,659",63.5 %,"2,39,292",22.9%,AC View
455,Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,"14,24,743","10,99,467",77.2 %,"2,11,721",19.3%,AC View
456,Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Sharad Tripathi,Bharatiya Janta Party,"19,04,327","10,11,649",53.1 %,"97,978",9.7%,AC View
457,Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,"15,38,744","8,63,254",56.1 %,"40,948",4.7%,AC View
458,Sarguja,1,ST,Chhattisgarh,Kamalbhan Singh Marabi,Bharatiya Janta Party,"15,23,072","11,87,321",78.0 %,"1,47,236",12.4%,AC View
459,Sasaram,34,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,"16,07,747","8,46,788",52.7 %,"63,327",7.5%,AC View
460,Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Nationalist Congress Party,"17,19,998","9,76,681",56.8 %,"3,66,594",37.5%,AC View
461,Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,"14,58,084","9,13,444",62.7 %,"8,688",1.0%,AC View
462,Secundrabad,8,GEN,Telangana,Bandaru Dattatreya,Bharatiya Janta Party,"18,93,647","10,03,769",53.0 %,"2,54,735",25.4%,AC View
463,Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,"15,61,321","9,68,518",62.0 %,"2,41,301",24.9%,AC View
464,Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Krishna Raj,Bharatiya Janta Party,"19,79,294","11,29,841",57.1 %,"2,35,529",20.8%,AC View
465,Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,"14,89,724","8,42,894",56.6 %,"1,36,239",16.2%,AC View
466,Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,"9,80,740","6,19,987",63.2 %,"40,379",6.5%,AC View
467,Shimla,4,SC,Himachal Pradesh,Virender Kashyap,Bharatiya Janta Party,"11,53,363","7,37,757",64.0 %,"84,187",11.4%,AC View
468,Shimoga,14,GEN,Karnataka,B. S. Yeddyurappa,Bharatiya Janta Party,"15,62,241","11,29,008",72.3 %,"3,63,305",32.2%,AC View
469,Shirdi,38,SC,Maharashtra,Lokhande Sadashiv Kisan,Shiv Sena,"14,59,712","9,32,645",63.9 %,"1,99,922",21.4%,AC View
470,Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatrey,Shiv Sena,"18,24,112","10,89,506",59.7 %,"3,01,814",27.7%,AC View
471,Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Daddan Mishra,Bharatiya Janta Party,"17,88,080","9,79,638",54.8 %,"85,913",8.8%,AC View
472,Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Riti Pathak,Bharatiya Janta Party,"17,36,050","9,89,396",57.0 %,"1,08,046",10.9%,AC View
473,Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,"17,70,424","10,65,750",60.2 %,"2,39,196",22.4%,AC View
474,Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,"3,70,611","3,08,967",83.4 %,"41,742",13.5%,AC View
475,Silchar,2,GEN,Assam,Sushmita Dev,Indian National Congress,"10,60,175","7,99,830",75.4 %,"35,241",4.4%,AC View
476,Singhbhum,10,ST,Jharkhand,Laxman Giluwa,Bharatiya Janta Party,"11,52,570","7,95,286",69.0 %,"87,524",11.0%,AC View
477,Sirsa,3,SC,Haryana,Charanjeet Singh Rori,Indian National Lok Dal,"16,60,557","12,79,105",77.0 %,"1,15,736",9.0%,AC View
478,Sitamarhi,5,GEN,Bihar [2000 Onwards],Ram Kumar Sharma,Rashtriya Lok Samta Party,"15,74,914","9,00,588",57.2 %,"1,47,965",16.4%,AC View
479,Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bharatiya Janta Party,"15,50,263","10,26,972",66.3 %,"51,027",5.0%,AC View
480,Sivaganga,31,GEN,Tamil Nadu,Senthilnathan Pr,All India Anna Dravida Munnetra Kazhagam,"14,12,373","10,27,036",72.7 %,"2,29,385",22.3%,AC View
481,Siwan,18,GEN,Bihar [2000 Onwards],Om Prakash Yadav,Bharatiya Janta Party,"15,63,860","8,84,021",56.5 %,"1,13,847",12.9%,AC View
482,Solapur,42,SC,Maharashtra,Sharad Bansode,Bharatiya Janta Party,"17,02,755","9,51,201",55.9 %,"1,49,674",15.7%,AC View
483,Sonipat,6,GEN,Haryana,Ramesh Chander,Bharatiya Janta Party,"14,17,188","9,85,637",69.6 %,"77,414",7.9%,AC View
484,South Delhi,7,GEN,Delhi [1977 Onwards],Ramesh Bidhuri,Bharatiya Janta Party,"17,52,741","11,02,410",62.9 %,"1,07,000",9.7%,AC View
485,South Goa,2,GEN,Goa,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,"5,45,336","4,10,369",75.3 %,"32,330",7.9%,AC View
486,Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,"16,24,038","12,90,433",79.5 %,"1,52,526",11.8%,AC View
487,Srikakulam,19,GEN,Andhra Pradesh [2014 Onwards],Rammohan Naidu Kinjarapu,Telugu Desam,"14,13,989","10,51,446",74.4 %,"1,27,572",12.1%,AC View
488,Srinagar,2,GEN,Jammu & Kashmir,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,"12,05,233","3,12,212",25.9 %,"42,280",13.5%,AC View
489,Sriperumbudur,5,GEN,Tamil Nadu,"Ramachandran, K.N. Thiru",All India Anna Dravida Munnetra Kazhagam,"19,46,503","12,86,647",66.1 %,"1,02,646",8.0%,AC View
490,Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,"17,03,698","9,64,981",56.6 %,"1,78,902",18.5%,AC View
491,Sundargarh,2,ST,Orissa,Jual @ Juel Oram,Bharatiya Janta Party,"14,10,532","10,10,711",71.7 %,"18,829",1.9%,AC View
492,Supaul,8,GEN,Bihar [2000 Onwards],Ranjeet Ranjan,Indian National Congress,"15,25,592","9,70,528",63.6 %,"59,672",6.1%,AC View
493,Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,"14,84,068","9,47,922",63.9 %,"5,33,190",56.2%,AC View
494,Surendranagar,9,GEN,Gujarat,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,"16,56,657","9,44,677",57.0 %,"2,02,907",21.5%,AC View
495,Tamluk,30,GEN,West Bengal,Adhikari Suvendu,All India Trinamool Congress,"15,27,273","13,37,684",87.6 %,"2,46,481",18.4%,AC View
496,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,"13,52,845","7,76,214",57.4 %,"1,92,503",24.8%,AC View
497,Tenkasi,37,SC,Tamil Nadu,Vasanthi.M,All India Anna Dravida Munnetra Kazhagam,"13,82,081","10,17,938",73.7 %,"1,61,774",15.9%,AC View
498,Tezpur,9,GEN,Assam,Ram Prasad Sarmah,Bharatiya Janta Party,"12,59,568","9,80,688",77.9 %,"86,020",8.8%,AC View
499,Thane,25,GEN,Maharashtra,Vichare Rajan Baburao,Shiv Sena,"20,73,442","10,54,189",50.8 %,"2,81,299",26.7%,AC View
500,Thanjavur,30,GEN,Tamil Nadu,Parasuraman.K,All India Anna Dravida Munnetra Kazhagam,"13,40,050","10,12,258",75.5 %,"1,44,119",14.2%,AC View
501,Theni,33,GEN,Tamil Nadu,"Parthipan, R.",All India Anna Dravida Munnetra Kazhagam,"14,41,302","10,75,583",74.6 %,"3,14,532",29.2%,AC View
502,Thiruvallur,1,SC,Tamil Nadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,"17,02,833","12,54,440",73.7 %,"3,23,430",25.8%,AC View
503,Thiruvananthapuram,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,"12,72,748","8,73,439",68.6 %,"15,470",1.8%,AC View
504,Thoothukkudi,36,GEN,Tamil Nadu,Jeyasingh Thiyagaraj Natterjee.J,All India Anna Dravida Munnetra Kazhagam,"13,10,597","9,16,778",70.0 %,"1,24,002",13.5%,AC View
505,Thrissur,10,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,"12,75,288","9,20,505",72.2 %,"38,227",4.2%,AC View
506,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,"15,29,003","7,66,321",50.1 %,"2,08,731",27.2%,AC View
507,Tiruchirappalli,24,GEN,Tamil Nadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,"13,87,140","9,88,250",71.2 %,"1,50,476",15.2%,AC View
508,Tirunelveli,38,GEN,Tamil Nadu,Prabakaran.K.R.P,All India Anna Dravida Munnetra Kazhagam,"14,20,435","9,62,330",67.8 %,"1,26,099",13.1%,AC View
509,Tirupati,40,SC,Andhra Pradesh [2014 Onwards],Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,"15,74,544","12,13,064",77.0 %,"37,425",3.1%,AC View
510,Tiruppur,18,GEN,Tamil Nadu,V.Sathyabama,All India Anna Dravida Munnetra Kazhagam,"13,75,589","10,50,190",76.3 %,"1,79,315",17.1%,AC View
511,Tiruvannamalai,11,GEN,Tamil Nadu,Vanaroja R,All India Anna Dravida Munnetra Kazhagam,"13,52,966","10,67,447",78.9 %,"1,68,606",15.8%,AC View
512,Tonk-Sawai Madhopur,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,"17,10,775","10,43,040",61.0 %,"1,35,311",13.0%,AC View
513,Tripura East,2,ST,Tripura,Jitendra Choudhury,Communist Party Of India (MARXIST),"11,40,269","9,51,110",83.4 %,"4,84,358",50.9%,AC View
514,Tripura West,1,GEN,Tripura,Sankar Prasad Datta,Communist Party Of India (MARXIST),"12,48,550","10,72,749",85.9 %,"5,03,486",46.9%,AC View
515,Tumkur,19,GEN,Karnataka,Muddahanumegowda.S.P.,Indian National Congress,"15,18,518","11,01,484",72.5 %,"74,041",6.7%,AC View
516,Tura,2,ST,Meghalaya,Purno Agitok Sangma,National People's Party,"5,86,501","4,58,071",78.1 %,"39,716",8.7%,AC View
517,Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,"18,17,940","11,93,202",65.6 %,"2,36,762",19.8%,AC View
518,Udhampur,5,GEN,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,"14,90,244","10,41,758",69.9 %,"60,976",5.9%,AC View
519,Udupi Chikmagalur,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,"13,87,295","10,34,108",74.5 %,"1,81,643",17.6%,AC View
520,Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,"14,28,445","8,58,920",60.1 %,"60,469",7.0%,AC View
521,Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Prof. Chintamani Malviya,Bharatiya Janta Party,"15,25,481","10,16,405",66.6 %,"3,09,663",30.5%,AC View
522,Uluberia,26,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,"14,48,632","11,86,027",81.9 %,"2,01,222",17.0%,AC View
523,Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,"21,64,392","12,01,603",55.5 %,"3,10,173",25.8%,AC View
524,Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,"14,50,599","10,01,038",69.0 %,"1,40,700",14.1%,AC View
525,Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,"11,82,504","9,59,342",81.1 %,"3,306",0.3%,AC View
526,Vadodara,20,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,"16,38,321","11,61,577",70.9 %,"5,70,128",49.1%,AC View
527,Vaishali,16,GEN,Bihar [2000 Onwards],Rama Kishore Singh,Lok Jan Shakti Party,"15,87,202","9,25,937",58.3 %,"99,267",10.7%,AC View
528,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Satish Chandra Dubey,Bharatiya Janta Party,"14,56,576","9,00,114",61.8 %,"1,17,793",13.1%,AC View
529,Valsad,26,ST,Gujarat,Dr. K.C.Patel,Bharatiya Janta Party,"15,12,061","11,22,203",74.2 %,"2,08,004",18.5%,AC View
530,Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,"17,67,486","10,30,685",58.3 %,"3,71,784",36.1%,AC View
531,Vellore,8,GEN,Tamil Nadu,"Senguttuvan, B.",All India Anna Dravida Munnetra Kazhagam,"13,12,251","9,74,770",74.3 %,"59,393",6.1%,AC View
532,Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Sushma Swaraj,Bharatiya Janta Party,"16,34,370","10,73,473",65.7 %,"4,10,698",38.3%,AC View
533,Vijayawada,29,GEN,Andhra Pradesh [2014 Onwards],Kesineni Srinivas,Telugu Desam,"15,64,513","11,95,075",76.4 %,"74,862",6.3%,AC View
534,Viluppuram,13,SC,Tamil Nadu,Rajendran S,All India Anna Dravida Munnetra Kazhagam,"13,87,007","10,67,641",77.0 %,"1,93,367",18.1%,AC View
535,Virudhunagar,34,GEN,Tamil Nadu,Radhakrishnan T,All India Anna Dravida Munnetra Kazhagam,"13,50,495","10,10,930",74.9 %,"1,45,551",14.4%,AC View
536,Visakhapatnam,21,GEN,Andhra Pradesh [2014 Onwards],Kambhampati Hari Babu,Bharatiya Janta Party,"17,23,037","11,63,558",67.5 %,"90,488",7.8%,AC View
537,Vizianagaram,20,GEN,Andhra Pradesh [2014 Onwards],Ashok Gajapathi Raju Pusapati,Telugu Desam,"14,04,127","11,20,316",79.8 %,"1,06,911",9.5%,AC View
538,Warangal,15,SC,Telangana,Kadiyam Srihari,Telangana Rashtra Samithi,"15,37,781","11,74,631",76.4 %,"3,92,574",33.4%,AC View
539,Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,"15,64,553","10,13,445",64.8 %,"2,15,783",21.3%,AC View
540,Wayanad,4,GEN,Kerala,M I Shanavas,Indian National Congress,"12,49,420","9,15,006",73.2 %,"20,870",2.3%,AC View
541,West Delhi,6,GEN,Delhi [1977 Onwards],Parvesh Sahib Singh Verma,Bharatiya Janta Party,"20,39,410","13,47,971",66.1 %,"2,68,586",19.9%,AC View
542,Yavatmal-Washim,14,GEN,Maharashtra,Gawali Bhavana Pundlikrao,Shiv Sena,"17,43,498","10,32,949",59.3 %,"93,816",9.1%,AC View
543,Zahirabad,5,GEN,Telangana,B.B. Patil,Telangana Rashtra Samithi,"14,45,246","10,94,806",75.8 %,"1,44,631",13.2%,AC View
